"name","high","hour","datetime"
"BYND","140.9100036621","09","2020-12-01 09:40:00-05:00"
"BYND","139.1549987793","10","2020-12-01 10:00:00-05:00"
"BYND","138.5","11","2020-12-01 11:25:00-05:00"
"BYND","138.7200012207","12","2020-12-01 12:30:00-05:00"
"BYND","138.8800048828","13","2020-12-01 13:45:00-05:00"
"BYND","138.8800048828","13","2020-12-01 13:40:00-05:00"
"BYND","138.6699981689","14","2020-12-01 14:05:00-05:00"
"BYND","137.8899993896","15","2020-12-01 15:35:00-05:00"
"DDOG","98.8000030518","09","2020-12-01 09:30:00-05:00"
"DDOG","96.8799972534","10","2020-12-01 10:00:00-05:00"
"DDOG","95.8899993896","11","2020-12-01 11:25:00-05:00"
"DDOG","95.5400009155","12","2020-12-01 12:10:00-05:00"
"DDOG","95.4899978638","13","2020-12-01 13:55:00-05:00"
"DDOG","95.7399978638","14","2020-12-01 14:05:00-05:00"
"DDOG","96.0299987793","15","2020-12-01 15:50:00-05:00"
"FB","284.9299926758","09","2020-12-01 09:50:00-05:00"
"FB","286.1099853516","10","2020-12-01 10:20:00-05:00"
"FB","288.950012207","11","2020-12-01 11:50:00-05:00"
"FB","289.299987793","12","2020-12-01 12:35:00-05:00"
"FB","288.9599914551","13","2020-12-01 13:50:00-05:00"
"FB","288.75","14","2020-12-01 14:15:00-05:00"
"FB","287.1199951172","15","2020-12-01 15:00:00-05:00"
"NFLX","505.1931152344","09","2020-12-01 09:45:00-05:00"
"NFLX","507.4200134277","10","2020-12-01 10:15:00-05:00"
"NFLX","504.5398864746","11","2020-12-01 11:10:00-05:00"
"NFLX","506.4800109863","12","2020-12-01 12:25:00-05:00"
"NFLX","509.4700012207","13","2020-12-01 13:30:00-05:00"
"NFLX","507.4949951172","14","2020-12-01 14:10:00-05:00"
"NFLX","505.3399963379","15","2020-12-01 15:55:00-05:00"
"OKTA","244.2700042725","09","2020-12-01 09:30:00-05:00"
"OKTA","241.3999938965","10","2020-12-01 10:00:00-05:00"
"OKTA","239.5","11","2020-12-01 11:15:00-05:00"
"OKTA","239.0","12","2020-12-01 12:10:00-05:00"
"OKTA","240.0399932861","13","2020-12-01 13:45:00-05:00"
"OKTA","238.8728942871","14","2020-12-01 14:00:00-05:00"
"OKTA","237.8650054932","15","2020-12-01 15:45:00-05:00"
"PINS","71.0999984741","09","2020-12-01 09:30:00-05:00"
"PINS","69.5199966431","10","2020-12-01 10:15:00-05:00"
"PINS","69.3887023926","11","2020-12-01 11:25:00-05:00"
"PINS","69.1500015259","12","2020-12-01 12:05:00-05:00"
"PINS","69.25","13","2020-12-01 13:45:00-05:00"
"PINS","69.0800018311","14","2020-12-01 14:00:00-05:00"
"PINS","68.3700027466","15","2020-12-01 15:50:00-05:00"
"SHOP","1086.0","09","2020-12-01 09:55:00-05:00"
"SHOP","1087.7298583984","10","2020-12-01 10:00:00-05:00"
"SHOP","1077.8498535156","11","2020-12-01 11:30:00-05:00"
"SHOP","1076.8100585938","12","2020-12-01 12:05:00-05:00"
"SHOP","1081.8399658203","13","2020-12-01 13:50:00-05:00"
"SHOP","1075.1700439453","14","2020-12-01 14:10:00-05:00"
"SHOP","1072.2800292969","15","2020-12-01 15:45:00-05:00"
"SNAP","45.2000007629","09","2020-12-01 09:35:00-05:00"
"SNAP","44.8499984741","10","2020-12-01 10:00:00-05:00"
"SNAP","44.9900016785","11","2020-12-01 11:10:00-05:00"
"SNAP","44.9199981689","12","2020-12-01 12:35:00-05:00"
"SNAP","45.1500015259","13","2020-12-01 13:30:00-05:00"
"SNAP","44.9749984741","14","2020-12-01 14:00:00-05:00"
"SNAP","44.7999992371","15","2020-12-01 15:00:00-05:00"
"SQ","212.9499969482","09","2020-12-01 09:30:00-05:00"
"SQ","209.5500030518","10","2020-12-01 10:00:00-05:00"
"SQ","207.9239959717","11","2020-12-01 11:20:00-05:00"
"SQ","207.4151000977","12","2020-12-01 12:25:00-05:00"
"SQ","208.3200073242","13","2020-12-01 13:25:00-05:00"
"SQ","207.4499969482","14","2020-12-01 14:05:00-05:00"
"SQ","204.0","15","2020-12-01 15:50:00-05:00"
"TTD","905.0","09","2020-12-01 09:30:00-05:00"
"TTD","895.950012207","10","2020-12-01 10:00:00-05:00"
"TTD","885.7800292969","11","2020-12-01 11:15:00-05:00"
"TTD","885.7800292969","11","2020-12-01 11:10:00-05:00"
"TTD","883.4400024414","12","2020-12-01 12:00:00-05:00"
"TTD","892.0","13","2020-12-01 13:50:00-05:00"
"TTD","887.5300292969","14","2020-12-01 14:25:00-05:00"
"TTD","893.1599731445","15","2020-12-01 15:55:00-05:00"
